"Voor","Achter","Kennistoetsen","Schriftelijk","Schriftelijk.Voldoende","Schriftelijk.Bonus","Schriftelijk.Bonus.Voldoende","Clicks","Weblectures","BEC.Propedeuse","AEC.Propedeuse","Vooropleiding"
"EDWARDO","Grandchild",4.1,4,0,4,0,385,0,1,1,"HAVO"
"ROSALIA","Glady",6.8,6,100,7.4,100,934,1.5,1,1,"HAVO"
"TOYA","Koral",6,3,0,3,0,497,1.2,1,1,"VWO"
"LIZZETTE","Texidor",0,6.4,100,6.4,100,253,0.4,1,1,"HAVO"
"MYRL","Storto",2.1,4.8,0,4.8,0,196,0,0,1,"HAVO"
"ALVERTA","Hentz",2.9,5.2,0,5.2,0,375,0,1,1,"VWO"
"AVELINA","Samia",5.5,6.4,100,7.6,100,414,0,1,1,"HAVO"
"EILENE","Welter",4.8,8,100,9.4,100,1039,2.6,0,1,"HAVO"
"OMER","Jespersen",5.6,2,0,2,0,339,0,1,0,"HAVO"
"KARREN","Prefontaine",5.8,7.4,100,9,100,541,0,1,1,"MBO"
"LEOTA","Hites",7.5,9.4,100,10,100,1041,6.1,1,1,"HAVO"
"DELMAR","Gerlich",4.8,6.2,100,6.2,100,947,3.4,NA,NA,NA
"DELINDA","Rolfs",2.8,5.8,100,5.8,100,209,0,1,1,"MBO"
"CANDY","Darst",0,3.4,0,3.4,0,1,0,NA,NA,NA
"KATI","Powelson",2.6,3.6,0,3.6,0,361,0,0,1,"HAVO"
"JANIE","Bungo",5.4,3.2,0,3.2,0,280,0,1,1,"VWO"
"CRUZ","Dudeck",7.4,6.4,100,7.8,100,389,0,1,1,"Anders"
"MABLE","Cartrette",4.2,3,0,3,0,424,1,1,1,"HAVO"
"ANTOINE","Dou",5.8,7.4,100,7.4,100,656,2.5,1,1,"HAVO"
"JILL","Bedney",3.3,3.4,0,3.4,0,243,0,1,1,"HAVO"
"TANNA","Nicholls",1,2.2,0,2.2,0,165,0,1,1,"HAVO"
"MAYOLA","Swango",2,7,100,7,100,396,0,0,1,"MBO"
"BABARA","Sandi",5.4,4.4,0,4.4,0,419,0,1,1,"HAVO"
"YASMINE","Schroeter",6.5,7.6,100,7.6,100,836,4.4,1,1,"MBO"
"HILARIO","Kepley",5.4,3,0,3,0,360,0,1,1,"HAVO"
"EMILE","Horry",3.8,5.6,100,5.6,100,664,2.7,1,1,"HAVO"
"TORA","Seubert",3.8,2.8,0,2.8,0,329,0,1,1,"HAVO"
"EDELMIRA","Mikulec",4,6.8,100,6.8,100,206,0,1,1,"HAVO"
"ANJA","Odonahue",5.4,5.2,0,5.2,0,342,0,1,1,"HAVO"
"BEVERLEY","Grogan",4.5,5.4,0,5.4,0,386,1.2,1,1,"HAVO"
"BENITA","Estes",4.2,5.6,100,5.6,100,362,0,1,1,"VWO"
"CASSY","Zannini",6.3,6.8,100,6.8,100,629,1,1,1,"HAVO"
"VERNETTA","Naman",3.9,5,0,5,0,487,0,1,1,"HAVO"
"MICAH","Delilli",7,6.6,100,7.8,100,389,0,1,1,"VWO"
"EDUARDO","Cabos",4.3,6.2,100,6.2,100,238,0,1,1,"HAVO"
"VICKEY","Kosmicki",4.3,4,0,4,0,429,0,1,1,"HAVO"
"KARLY","Utvik",7.5,9.6,100,10,100,668,0,1,1,"HAVO"
