"","Voor","Achter","Kennistoetsen","Schriftelijk","Schriftelijk.Voldoende","Schriftelijk.Bonus","Schriftelijk.Bonus.Voldoende","Rekentoets","Clicks","Weblectures","BEC.Propedeuse","AEC.Propedeuse","Vooropleiding"
"65","SHARYL","Nunez",5.2,5,0,5,0,10,896,6.3,1,1,"HAVO"
"66","ADOLFO","Eickhorst",1.5,5.4,0,5.4,0,642.857,197,0,0,1,"HAVO"
"67","STANTON","Koterba",1.4,5.8,100,5.8,100,10,518,0.3,1,1,"HAVO"
"68","CATHEY","Ruffell",2.8,1.4,0,1.4,0,714.286,107,0,1,1,"HAVO"
"69","JOHNNIE","Bloomberg",5.3,6,100,6,100,642.857,391,0,1,1,"HAVO"
"70","MARTH","Svec",5.3,5.4,0,5.4,0,714.286,347,0.4,1,0,"HAVO"
"71","LETA","Goldsworthy",5.7,5.8,100,7.2,100,428.571,409,0,1,1,"HAVO"
"72","RYANN","Solien",5.6,8.2,100,8.2,100,642.857,389,0,1,1,"HAVO"
"73","EDWARDO","Grandchild",4.1,4,0,4,0,642.857,385,0,1,1,"HAVO"
"74","ROSALIA","Glady",6.8,6,100,7.4,100,642.857,934,1.5,1,1,"HAVO"
"75","TOYA","Koral",6,3,0,3,0,857.143,497,1.2,1,1,"VWO"
"76","LIZZETTE","Texidor",0,6.4,100,6.4,100,571.429,253,0.4,1,1,"HAVO"
"77","MYRL","Storto",2.1,4.8,0,4.8,0,571.429,196,0,0,1,"HAVO"
"78","ALVERTA","Hentz",2.9,5.2,0,5.2,0,714.286,375,0,1,1,"VWO"
"79","AVELINA","Samia",5.5,6.4,100,7.6,100,5,414,0,1,1,"HAVO"
"80","EILENE","Welter",4.8,8,100,9.4,100,714.286,1039,2.6,0,1,"HAVO"
"81","OMER","Jespersen",5.6,2,0,2,0,5,339,0,1,0,"HAVO"
"82","KARREN","Prefontaine",5.8,7.4,100,9,100,5,541,0,1,1,"MBO"
"83","LEOTA","Hites",7.5,9.4,100,10,100,571.429,1041,6.1,1,1,"HAVO"
"84","DELMAR","Gerlich",4.8,6.2,100,6.2,100,571.429,947,3.4,NA,NA,NA
"85","DELINDA","Rolfs",2.8,5.8,100,5.8,100,5,209,0,1,1,"MBO"
"86","CANDY","Darst",0,3.4,0,3.4,0,NA,1,0,NA,NA,NA
"87","KATI","Powelson",2.6,3.6,0,3.6,0,642.857,361,0,0,1,"HAVO"
"88","JANIE","Bungo",5.4,3.2,0,3.2,0,857.143,280,0,1,1,"VWO"
"89","CRUZ","Dudeck",7.4,6.4,100,7.8,100,571.429,389,0,1,1,"Anders"
"90","MABLE","Cartrette",4.2,3,0,3,0,642.857,424,1,1,1,"HAVO"
"91","ANTOINE","Dou",5.8,7.4,100,7.4,100,5,656,2.5,1,1,"HAVO"
"92","JILL","Bedney",3.3,3.4,0,3.4,0,571.429,243,0,1,1,"HAVO"
"93","TANNA","Nicholls",1,2.2,0,2.2,0,571.429,165,0,1,1,"HAVO"
"94","MAYOLA","Swango",2,7,100,7,100,357.143,396,0,0,1,"MBO"
"95","BABARA","Sandi",5.4,4.4,0,4.4,0,714.286,419,0,1,1,"HAVO"
"96","YASMINE","Schroeter",6.5,7.6,100,7.6,100,714.286,836,4.4,1,1,"MBO"
"97","HILARIO","Kepley",5.4,3,0,3,0,928.571,360,0,1,1,"HAVO"
"98","EMILE","Horry",3.8,5.6,100,5.6,100,642.857,664,2.7,1,1,"HAVO"
"99","TORA","Seubert",3.8,2.8,0,2.8,0,571.429,329,0,1,1,"HAVO"
"100","EDELMIRA","Mikulec",4,6.8,100,6.8,100,571.429,206,0,1,1,"HAVO"
"101","ANJA","Odonahue",5.4,5.2,0,5.2,0,5,342,0,1,1,"HAVO"
"102","BEVERLEY","Grogan",4.5,5.4,0,5.4,0,785.714,386,1.2,1,1,"HAVO"
"103","BENITA","Estes",4.2,5.6,100,5.6,100,928.571,362,0,1,1,"VWO"
"104","CASSY","Zannini",6.3,6.8,100,6.8,100,928.571,629,1,1,1,"HAVO"
"105","VERNETTA","Naman",3.9,5,0,5,0,357.143,487,0,1,1,"HAVO"
"106","MICAH","Delilli",7,6.6,100,7.8,100,928.571,389,0,1,1,"VWO"
"107","EDUARDO","Cabos",4.3,6.2,100,6.2,100,785.714,238,0,1,1,"HAVO"
"108","VICKEY","Kosmicki",4.3,4,0,4,0,357.143,429,0,1,1,"HAVO"
"109","KARLY","Utvik",7.5,9.6,100,10,100,785.714,668,0,1,1,"HAVO"
